Fold,Method,Alpha,Budget,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse
1,Baseline,0.0,0.3,0.796,0.6374601574104637,0.3716632443531828,137.2651035785675,0.20243395492877242,1.0,0.74,0.20243395492877242,0.9956666666666667
1,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5502777376629806,0.0,112.0181245803833,0.0,1.0,1.0,0.0,1.0
1,RACT,0.2,0.3,0.7946666666666666,0.6333308404852286,0.21227621483375958,133.70760440826416,0.11504118529189113,1.0,0.94,0.11504118529189113,0.999
2,Baseline,0.0,0.3,0.7996666666666666,0.6447575404357154,0.38358974358974357,116.03109765052795,0.25533658650451646,1.0,0.6,0.25533658650451646,0.9933333333333333
2,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5677378821794026,0.0,101.2906985282898,0.0,1.0,1.0,0.0,1.0
2,RACT,0.2,0.3,0.8016666666666666,0.6366323599191285,0.27878787878787875,113.68588471412659,0.12140651879284896,1.0,0.98,0.12140651879284896,0.9996666666666667
3,Baseline,0.0,0.3,0.805,0.6577424853523683,0.39999999999999997,130.57909321784973,0.23477213396285837,1.0,0.64,0.23477213396285837,0.994
3,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5529845194132694,0.0,111.06400299072266,0.0,1.0,1.0,0.0,1.0
3,RACT,0.2,0.3,0.798,0.6376812902294108,0.23096446700507614,131.00365209579468,0.12854128736845405,1.0,0.96,0.12854128736845405,0.9993333333333333
4,Baseline,0.0,0.3,0.7996666666666666,0.6510056707996369,0.36267232237539765,137.267028093338,0.21660833838389654,1.0,0.72,0.21660833838389654,0.9953333333333333
4,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5676366639503218,0.0,101.95343399047852,0.0,1.0,1.0,0.0,1.0
4,RACT,0.2,0.3,0.7916666666666666,0.6326706655388676,0.19562419562419564,128.20711708068848,0.12924935174887722,1.0,0.96,0.12924935174887722,0.9993333333333333
5,Baseline,0.0,0.3,0.8003333333333333,0.6709759629270506,0.3524324324324324,129.14186358451843,0.2654948256717913,1.0,0.58,0.2654948256717913,0.993
5,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5759197964804424,0.0,104.3841016292572,0.0,1.0,1.0,0.0,1.0
5,RACT,0.2,0.3,0.7913333333333333,0.6460276035649448,0.1953727506426735,131.6259617805481,0.11526867799794313,1.0,1.0,0.11526867799794313,1.0
6,Baseline,0.0,0.3,0.8036666666666666,0.6907492985641194,0.4331087584215592,146.9502158164978,0.16104884498783462,1.0,0.84,0.16104884498783462,0.9973333333333333
6,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5837261718105298,0.0,113.24881219863892,0.0,1.0,1.0,0.0,1.0
6,RACT,0.2,0.3,0.8003333333333333,0.6611732675565275,0.2686202686202686,121.51912045478821,0.09261479422181065,1.0,1.0,0.09261479422181065,1.0
7,Baseline,0.0,0.3,0.818,0.6936291451507038,0.4382716049382716,155.1593942642212,0.2201254383990732,1.0,0.68,0.2201254383990732,0.9946666666666667
7,Baseline (OAF),0.0,0.3,0.779,0.5902357058817076,0.0,107.53014278411865,0.0,1.0,1.0,0.0,1.0
7,RACT,0.2,0.3,0.803,0.6634264449336563,0.23544631306597671,125.7921404838562,0.10793794680275257,1.0,1.0,0.10793794680275257,1.0
8,Baseline,0.0,0.3,0.8096666666666666,0.6635887625844583,0.38799571275455513,141.11749792099,0.22476110040210528,1.0,0.66,0.22476110040210528,0.9943333333333333
8,Baseline (OAF),0.0,0.3,0.779,0.5687820238526272,0.0,101.11578869819641,0.0,1.0,1.0,0.0,1.0
8,RACT,0.2,0.3,0.793,0.6485248455723425,0.1641991924629879,125.31889700889587,0.12048196409092311,1.0,1.0,0.12048196409092311,1.0
9,Baseline,0.0,0.3,0.8066666666666666,0.6630772844999229,0.35698447893569846,135.7524631023407,0.1891746670730614,1.0,0.82,0.1891746670730614,0.997
9,Baseline (OAF),0.0,0.3,0.779,0.5708776318532417,0.0,109.57881736755371,0.0,1.0,1.0,0.0,1.0
9,RACT,0.2,0.3,0.7946666666666666,0.6470875437499314,0.17866666666666667,127.84819316864014,0.1257784434379882,1.0,0.94,0.1257784434379882,0.999
10,Baseline,0.0,0.3,0.8106666666666666,0.6744033777560924,0.36036036036036034,137.82921051979065,0.21557947924082937,1.0,0.76,0.21557947924082937,0.996
10,Baseline (OAF),0.0,0.3,0.779,0.577033762716765,0.0,113.88548851013184,0.0,1.0,1.0,0.0,1.0
10,RACT,0.2,0.3,0.7983333333333333,0.6514559215608826,0.20915032679738563,123.9244134426117,0.13311189496552497,1.0,0.98,0.13311189496552497,0.9996666666666667
